skills,experience,interest,education,work_type,communication,target_role,job_link
"Salesforce, CRM",6.0,Sales,Graduate,Hybrid,9.0,Salesforce Admin,https://danguradigital.com/career/sales-and-marketing-executive-june/
"Docker, Kubernetes",3.0,DevOps,Graduate,Remote,7.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
Marketing Automation,4.0,Marketing,Graduate,Remote,6.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"Public Speaking, Leadership",7.0,Management,Post Graduate,Onsite,9.0,Team Lead,https://aristocrat.wd3.myworkdayjobs.com/AristocratExternalCareersSite/job/Noida-UP-IN/Technical-Lead_R0018902-1
"Python, Data Engineering",6.0,Data,Post Graduate,Hybrid,6.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Linux, Networking, Security",5.0,DevOps,Graduate,Onsite,4.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"Python, SQL, Pandas",3.0,Data,Graduate,Remote,7.0,Data Analyst,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Python, Data Engineering",5.0,Data,Post Graduate,Hybrid,6.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"Unity, C#",2.0,Game Dev,Graduate,Onsite,8.0,Game Developer,https://www.desirousgc.com/job/171
"HTML, CSS, JavaScript",2.0,Web,Graduate,Remote,7.0,Frontend Developer,https://www.careers-page.com/m365connect/job/QY77XRY5?utm_medium=free_job_board&utm_source=linkedin
"Unity, C#",3.0,Game Dev,Graduate,Onsite,7.0,Game Developer,https://www.desirousgc.com/job/171
"Linux, Networking, Security",6.0,DevOps,Graduate,Onsite,5.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"Communication, Negotiation",5.0,Sales,Graduate,Onsite,10.0,Sales Manager,https://danguradigital.com/career/sales-and-marketing-executive-june/
"C++, Embedded Systems",5.0,Hardware,Post Graduate,Onsite,4.0,Firmware Engineer,https://careers.synopsys.com/job/-/-/44408/77911761744?Indeed_org
"SQL Server, SSIS",2.0,Data,Graduate,Hybrid,6.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"SQL Server, SSIS",4.0,Data,Graduate,Hybrid,5.0,Data Engineer,https://careers.bcg.com/global/en/job/52492/Data-Scientist-Senior-Data-Scientist-India-BCG-X
"AutoCAD, SolidWorks",7.0,Design,Graduate,Onsite,6.0,Mechanical Designer,https://www.desirousgc.com/job/350
Marketing Automation,4.0,Marketing,Graduate,Remote,7.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"Linux, Networking, Security",7.0,DevOps,Graduate,Onsite,4.0,DevOps Engineer,https://careers.persistent.com/jobview/devops-engineer-india-devops-2024101615152179?source=indeed
"Cybersecurity, Ethical Hacking",4.0,Security,Graduate,Onsite,6.0,Security Analyst,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-4916161-S1852032_en&title=Business+Analyst&SRC=RECNau
"TensorFlow, PyTorch",4.0,AI,Post Graduate,Remote,8.0,AI Researcher,https://www.accenture.com/in-en/careers/jobdetails?id=ATCI-5006307-S1867662_en
Marketing Automation,4.0,Marketing,Graduate,Remote,7.0,Marketing Specialist,https://www.position2.com/career/junior-marketing-automation-analyst/
"SEO, Content Marketing",5.0,Marketing,Graduate,Remote,10.0,Digital Marketer,https://danguradigital.com/career/sales-and-marketing-executive-june/
