Unnamed: 0,target_role,Company,Package(P/A),Experince,Skills,Job_Description,Rating,Reviews,Location,Link-of-job
13,Data Science Manager,Conde Nast India,40-55 Lacs PA,10-16 Yrs ,"['python', 'data science', 'Deep Learning', 'sql', 'communication skills', 'Machine', 'Predictive', 'Predictive modeling']","Experience in building propensity models, churn prediction, NLP - language models, embe...",3.7,57.0,"Hybrid - Bangalore/ Bengaluru, Karnataka",https://www.naukri.com/job-listings-data-science-manager-conde-nast-india-bangalore-bengaluru-karnataka-10-to-16-years-040723003546
25,Data Science Manager,Tredence,Not disclosed,5-8 Yrs ,"['Data Science', 'Text Analytics', 'New business development', 'Processing', 'Management', 'Consulting', 'Machine learning', 'Natural language processing']",". Bachelors or Masters degree in a quantitative field (CS, machine learning, mathematic...",3.6,237.0,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",https://www.naukri.com/job-listings-data-science-manager-tredence-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-8-years-280623502228
59,Data Science Manager,Epiq Systems,Not disclosed,5-7 Yrs ,"['natural language processing', 'engineering', 'Process', 'Data Science', 'Data', 'Machine learning', 'Management', 'Science']",SummaryWe are seeking a highly skilled Software Product Development Manager with a stro...,4.1,126.0,Hybrid - Hyderabad/Secunderabad,https://www.naukri.com/job-listings-data-science-manager-epiq-systems-hyderabad-secunderabad-5-to-7-years-140623008134
66,Data Science Manager,Seven Consultancy (HR Solution),Not disclosed,5-10 Yrs ,"['machine', 'infrastructure', 'analytics', 'management', 'data structures', 'big data analytics', 'data', 'science']",1.Python Programming 2.Strong OOPS Concepts 3.Strong knowledge in CS fundamentals - Dat...,4.0,3.0,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-science-manager-seven-consultancy-hr-solution-bangalore-bengaluru-5-to-10-years-280322501503
81,Data Science Manager,All About It India,Not disclosed,12-15 Yrs ,"['Data analysis', 'data science', 'Coding', 'Analytical', 'Machine learning', 'Project planning', 'Predictive modeling', 'Analytics']",Experience . Bachelors degree / University degree in Engineering / Technology (BTech / ...,4.5,7.0,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",https://www.naukri.com/job-listings-data-science-manager-all-about-it-india-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-12-to-15-years-290623501342
82,Data Science Manager,Contrado,Not disclosed,6-11 Yrs ,"['power bi', 'team', 'leadership', 'computer science', 'science', 'data management', 'management', 'computer']","Required Skills and Qualifications . Bachelors or master s degree in economics, mathema...",3.5,12.0,Ahmedabad,https://www.naukri.com/job-listings-data-science-manager-contrado-imaging-ltd-ahmedabad-6-to-11-years-210522500690
99,Data Science Manager,Chegg,Not disclosed,8-13 Yrs ,"['Natural Language Processing', 'Machine Learning', 'AWS', 'Artificial Intelligence', 'Deep Learning', 'Data', 'Machine', 'Languages']","In addition, you must be a leader that can manage a team and provide guidance and mento...",4.3,1026.0,Hybrid - Delhi / NCR,https://www.naukri.com/job-listings-data-science-manager-chegg-india-delhi-ncr-8-to-13-years-120623004327
108,Data Science Manager,Isha Foundation,Not disclosed,5-7 Yrs ,"['Predictive modeling', 'Quantitative analysis', 'Analytics', 'Bi', 'SAS', 'Data Science', 'Development', 'Analysis']",Prepare a summary of results for in-house discussion and take feedback whenever / where...,4.3,73.0,Coimbatore,https://www.naukri.com/job-listings-data-science-manager-isha-foundation-coimbatore-5-to-7-years-080822500554
126,Data Science Manager,Xcel Hires Managment Solutions Pvt Ltd,Not disclosed,5-8 Yrs ,"['Data collection', 'Scrum', 'Management', 'Aviation', 'Machine', 'Science', 'Operations', 'Analytics']",Experience in leading a team of both data scientist and machine learning engineers to s...,,,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-science-manager-xcel-hires-managment-solutions-pvt-ltd-bangalore-bengaluru-5-to-8-years-250523500857
147,Data Science Manager,Technovert,Not disclosed,8-9 Yrs ,"['licensing', 'management', 'python', 'data', 'data analysis', 'it services', 'analysis', 'technology']",Must have developed custom data models and algorithms to apply to data sets Should have...,3.8,45.0,Hyderabad/Secunderabad,https://www.naukri.com/job-listings-data-science-manager-technovert-hyderabad-secunderabad-8-to-9-years-280323500344
